,0,1,2,3,4
1444,,,,,
1445,fuck india,india,,,
1446,gandhi laughing,priyanka gandhi,,,
1447,nuke pakistan,,,,
1448,indiawantsrevenge pulwama,thats bjp,bjp it,bjp,
1449,mumbai youth,congress protested,protested against,,
1450,pulwama martyrs,says bjp,nepal singh,mp nepal,
1451,pulwamaattack modi,,,,
1452,fdr should,fdr,think fdr,,
1453,pak accountable,,,,
1454,awful constitutional,precedent gop,,,
1455,bjp aap,of bjp,bjp,aap mukt,
1456,natwarlal,,,,
1457,terror attack,worst terror,,,
1458,jihadi attack,pulwana jihadi,,,
1459,narendramodi kashmir,kashmir pulwama,pulwama modi,hindi film,dirty hindi
1460,patna,patna on,to patna,,
1461,,,,,
1462,modiâ photo,pm modiâ,,,
1463,nuclear demise,,,,
1464,president rahulgandhi,rahulgandhi pays,,,
1465,threatening sovereignty,overthrow sovereignty,sovereignty nda,,
1466,did bjp,bjp,bjp do,did modi,
1467,decouple hindutva,hindutva is,modi,reinvent india,hindutva
1468,,,,,
1469,modi condemn,,,,
1470,the deficit,cutting spending,the debt,debt,
1471,laloo convicted,,,,
1472,tn bjp,,,,
1473,ripbravehearts crpfjawans,crpf soldiers,aap family,martyrs ripbravehearts,
1474,,,,,
1475,,,,,
1476,destroy indiaâ,indiaâ enemies,,,
1477,national emergency,security emergency,,,
1478,shocking bjp,,,,
1479,treason,of treason,,,
1480,,,,,
1481,pulwamaattack kashmirterrorattack,weaken india,warns pakistan,,
1482,gujarat samachar,stop gujarat,anti modi,,
1483,18th terrorist,,,,
1484,,,,,
1485,have courage,,,,
1486,congress wtf,hey congress,congress,,
1487,2014 issue,,,,
1488,on bjp,,,,
1489,blame modi,,,,
1490,is bjp,bjp,piyushgoyal bjp,bjp always,
1491,congressional action,,,,
1492,let china,,,,
1493,relations pakistan,pakistan is,human pakistan,pakistan has,pakistan
1494,priyankagandhi cancelled,,,,
1495,wall congress,congress must,congress,,
1496,perpetrators will,go unpunished,unpunished,,
1497,,,,,
1498,terrorists congress,khalistani congress,pakistan congress,naxals congress,murderers congress
1499,attack rahulgandhipagalhai,you rahulgandhi,rahulgandhipagalhai are,rahulgandhi,rahulgandhi is
1500,ally israel,hamas and,,,
1501,modi mourning,patriotic modi,martyred soldiers,mourning for,mourning
1502,barbara lee,rep barbara,,,
1503,martyred crpf,crpf jawans,palam airport,,
1504,pulwama,think pulwama,,,
1505,dravidian majors,dravidian,the dravidian,,
1506,man modi,modi during,,,
1507,blaming nehru,largest attack,,,
1508,uri attacks,,,,
1509,attack modi,,,,
1510,omnibus bill,bill passed,,,
1511,,,,,
1512,congress has,,,,
1513,,,,,
1514,ben was,congress rapporteur,ben,,
1515,peace will,modi peace,,,
1516,,,,,
1517,gandhi laughing,priyanka gandhi,,,
1518,rosensteinâ final,pelosi going,is pelosi,rod rosensteinâ,
1519,admk should,let bjp,bjp contest,to bjp,
1520,words india,,,,
1521,congress will,emergency declaration,,,
1522,modi killed,blaming pakistan,,,
1523,kick navjotsinghsidhu,kick congress,congress kick,india congress,fuck navjotsinghsidhu
1524,stole 30000,,,,
1525,,,,,
1526,coward modi,crpf jawans,shameless modi,,
1527,brahman bjp,poor dalits,,,
1528,terror attacks,funds bjp,,,
1529,narendramodi arunjaitley,arunjaitley,arunjaitley https,,
1530,pakistan is,terrorist state,pakistan,is terrorist,
1531,are bjp,so bjp,,,
1532,of pakistan,,,,
1533,,,,,
1534,,,,,
1535,what wuhan,wuhan spirit,reopens modiâ,,
1536,kashmirâ pulwama,pulwamaattack rahulgandhi,tragic pulwamaterrorattack,pulwama,pulwamaterrorattack on
1537,vandebharatexpress was,the vandebharatexpress,vandebharatexpress,,
1538,sensible indians,indians please,hai aapas,,
1539,pulwama suicide,siddhu,of pulwama,out siddhu,siddhu has
1540,,,,,
1541,pakistanis busy,kashmir oppression,kashmiris are,kashmir,way kashmiris
1542,,,,,
1543,modi sarkar,govt pussilanimity,against pakistan,,
1544,so ramapimpa,ramapimpa never,,,
1545,kejriwal stopping,is kejriwal,kejriwal,,
1546,not modi,modi,modi has,now modi,
1547,trinamool terror,bengal bjp,flags bengal,bjp,
1548,attack pakistan,please attack,masood azahar,,
1549,these attacks,attacks during,attacks on,attacks as,
1550,pakistan attacked,,,,
1551,,,,,
1552,,,,,
1553,,,,,
1554,diplomats in,diplomats,called diplomats,,
1555,25th amendment,,,,
1556,,,,,
1557,indian terrorists,terrorists who,,,
1558,terrorist dar,gandhi and,,,
1559,kashmir policy,,,,
1560,shareholder complaint,,,,
1561,on bjp,,,,
1562,formed jem,jem mr,jem,azhar masood,
1563,urge nsitharaman,pulwama crpf,kashmirterrorattack pulwamaterrorattack,crpf kashmirterrorattack,nsitharaman to
1564,,,,,
1565,crpf personnel,,,,
1566,whenever bjp,bjp is,bjp,attack bodhisattwa,
1567,word lynching,lynching,have lynching,lynching on,lynching is
1568,,,,,
1569,congress failed,means congress,,,
1570,congress is,,,,
1571,gandhi ji,netaji wantrevengeonbloodypakistan,modi ji,become netaji,netaji
1572,terror incidents,33 terror,terror,,
1573,emergencies act,national emergencies,national emergency,,
1574,nda,nda no,,,
1575,russian agent,,,,
1576,assampolice this,sbhttachrya assampolice,,,
1577,,,,,
1578,,,,,
1579,declared hindurastra,,,,
1580,nuclear weapons,,,,
1581,,,,,
1582,so pulwamaattack,,,,
1583,crpf jawans,jawans killed,,,
1584,ilhan omarâ,,,,
1585,priyanka gandhi,amit shah,,,
1586,government shutdown,,,,
1587,,,,,
1588,goddamn embassy,,,,
1589,is bjp,train 18,bjp,the bjp,
1590,modi promised,,,,
1591,,,,,
1592,yourself indian,,,,
1593,ilhan omar,,,,
1594,show bjp,,,,
1595,,,,,
1596,blocked him,blocked,,,
1597,bjp4india and,bjp4india,by bjp4india,jail sonia,
1598,executive action,aca wasn,the aca,,
1599,rafale deal,govt rafale,rafale,,
1600,fake journalists,,,,
1601,nationalistic rahul,modi rahulgandhi,nationalist modi,rahul gandhi,gandhi and
1602,indian boycottsidhu,boycottsidhu,heartless indian,,
1603,,,,,
1604,delhi fast,,,,
1605,,,,,
1606,pulwama attacks,,,,
1607,indians govt,modiâ,hate indians,modiâ new,
1608,,,,,
1609,,,,,
1610,have islamofascists,islamofascists,islamofascists in,,
1611,kashmir insurgency,modi retaliate,kashmir killing,retaliate india,
1612,ðÿ bjp,bjp apply,,,
1613,congress cannot,emergency declaration,,,
1614,singh responsible,manmohan singh,,,
1615,,,,,
1616,lawsuit congress,national emergency,,,
1617,bjp stresses,if bjp,bjp,,
1618,fighting jihad,,,,
1619,attacking pakistan,,,,
1620,pulwama attack,pm pulwamaterroristattack,govt pulwama,pulwamaterrorattack,pulwama
1621,emergency powers,,,,
1622,political rally,cancel political,,,
1623,to kandhar,,,,
1624,raga will,,,,
1625,,,,,
1626,,,,,
1627,,,,,
1628,deported,deported but,,,
1629,jawans martyred,,,,
1630,,,,,
1631,crpf jawans,,,,
1632,pulwama crpf,,,,
1633,,,,,
1634,modi ji,,,,
1635,impeachment shall,of impeachment,trial shall,impeachment,th trial
1636,let modi,modi despite,modia will,modi get,modi
1637,candidate modi,,,,
1638,jewish congress,world jewish,,,
1639,modi,,,,
1640,,,,,
1641,,,,,
1642,turned kashmir,kashmir,kashmir to,,
1643,,,,,
1644,pak flag,,,,
1645,soviet goal,,,,
1646,puerto rico,,,,
1647,modi sarkar,,,,
1648,india should,,,,
1649,bjp crimes,about bjp,bjp,opinions sirpareshrawal,hindu thinks
1650,pakistanis were,pakistanis separatists,kejriwal become,kejriwal,when bjp
1651,hate modi,destroying india,,,
1652,future pm,rah gandhi,,,
1653,,,,,
1654,,,,,
1655,,,,,
1656,,,,,
1657,modi govt,spent crores,of modi,modi ji,publicity spent
1658,terrorism pulwama,,,,
1659,supreme court,the constitution,,,
1660,terror attacks,modi regime,terror,terror in,
1661,rahulgandhi there,being_humor rahulgandhi,rahulgandhi,icf chennai,
1662,pulwama happened,,,,
1663,modi govt,scamsters nomo,,,
1664,pakistan exports,pak exports,customs duty,,
1665,hindus stage,stage hindus,stage terrorist,attack stage,pak zinda
1666,modi ji,,,,
1667,sacksidhufrompunjabcabinet,,,,
1668,pakistani suicide,iran afghan,guards iran,terror baluchistan,india iran
1669,distributing blankets,blankets in,,,
1670,,,,,
1671,why boycottsidhu,boycottsidhu why,boycottsidhu,not boycottcongress,boycottcongress instead
1672,admk bjp,21 constituencies,constituencies,bjp alliance,constituencies by
1673,surgical strikes,,,,
1674,crpf jawans,,,,
1675,hate bjp,hate india,bjp donâ,bjp,donâ hate
1676,which gandhi,rules india,gandhiyo ke,gandhi family,gandhi
1677,want bjp,bjp will,,,
1678,indian engg,,,,
1679,isolating pak,,,,
1680,future bjp,bjp now,bjp,bjp leaders,and bjp
1681,inf treaty,treaty,treaty and,treaty this,the treaty
1682,party sacksidhufrompunjabcabinet,,,,
1683,koi rok,isse koi,,,
1684,pappu,martyr,every martyr,of pidis,
1685,,,,,
1686,crpf jawans,,,,
1687,,,,,
1688,,,,,
1689,secpompeo fuck,pompeo youâ,licking modiâ,pompeo,
1690,border alarmist,,,,
1691,arun jaitley,,,,
1692,our jawans,narendra modi,jawans,jawans this,
1693,,,,,
1694,,,,,
1695,,,,,
1696,,,,,
1697,modi is,whom modi,modi,,
1698,leverage modi,,,,
1699,mourning bjp,,,,
1700,hindus elections2019,,,,
1701,,,,,
1702,gandhi said,when gandhi,,,
1703,,,,,
1704,modi shah,hindu terrorist,shah deserve,shah,godhra riots
1705,terrorism modi,pakistan policy,fighting terrorism,terrorism,govts pakistan
1706,mumbai mourns,,,,
1707,punjab congress,against sidhu,,,
1708,,,,,
1709,remainer mps,,,,
1710,,,,,
1711,,,,,
1712,mfn status,withdrawn mfn,neutralise pakistan,,
1713,,,,,
1714,pulwama attack,pulwama,by bjp,after pulwama,bjp mp
1715,,,,,
1716,bjp needs,martyrdom,the martyrdom,bjp,martyrdom https
1717,suicidal pakistan,,,,
1718,,,,,
1719,,,,,
1720,,,,,
1721,losing loved,,,,
1722,dislike modi,not modi,modi is,modi and,modi
1723,modiâ hindutva,hindutva politics,damaged indiaâ,image indiaâ,inckliq modiâ
1724,karnatakamining industry,mining industry,the karnatakamining,karnatakamining,
1725,restore tsd,mistake modi,,,
1726,afghan nationalists,,,,
1727,,,,,
1728,,,,,
1729,customs duty,customs,goods imported,,
1730,fireworks video,,,,
1731,chaiwala,crpf families,,,
1732,,,,,
1733,alliance what,alliance,,,
1734,about kulbhushan,kulbhushan at,kulbhushan,,
1735,,,,,
1736,congress incoverseas,the crpfindia,crpfindia,,
1737,bjp spokies,allow bjp,in bjp,,
1738,hate india,hate modi,,,
1739,,,,,
1740,,,,,
1741,war crimes,,,,
1742,torturing kashmiris,,,,
1743,migrants are,migrants,all migrants,,
1744,in bjp,bjp,from bjp,bjp bcoz,
1745,mumbai attack,of bjp,jaleel harkat,bjp after,
1746,fake gandhi,gandhi,india poor,gandhi 49,
1747,bjp both,bjp,and bjp,vnarayanasami congress,arvindkejriwal vnarayanasami
1748,accountability we,,,,
1749,bjp leaders,,,,
1750,maharashtra skips,,,,
1751,illegals,illegals itâ,the illegals,,
1752,rahul declares,damaged rahul,rahul,rahul would,checks rahul
1753,train didn,,,,
1754,antisemitic comments,against antisemitism,antisemitism,antisemitic,antisemitism https
1755,stupidity bill,bill pass,,,
1756,on bjp,bjp,bjp https,,
1757,hamas,to hamas,hamas is,,
1758,,,,,
1759,,,,,
1760,bjp idiocy,amritsar airport,,,
1761,dig scam,,,,
1762,terrorism will,,,,
1763,,,,,
1764,cair is,cair,,,
1765,post bjp,bjp propaganda,,,
1766,tears will,pulwama attack,lauds jawans,,
1767,rahulgandhi congress,do corruption,corruption shame,,
1768,,,,,
1769,crpf soldiers,,,,
1770,,,,,
1771,italy products,,,,
1772,bsdki congress,piyushgoyal shameful,shameful bsdki,,
1773,playing congress,,,,
1774,join krne,tiwari_ashish1 akhileshthakurs,congress join,se khrab,
1775,sleepshift workers,,,,
1776,bjp mp,,,,
1777,realsaavedra leadership,,,,
1778,soldiers martyred,,,,
1779,jehadi living,,,,
1780,urban terrorists,terror attacks,terrorists like,to terrorism,terrorism
1781,narendra modi,pulwama attack,,,
1782,emergency declaration,illegal emergency,,,
1783,train broke,,,,
1784,bollywood movie,isnâ bollywood,,,
1785,militants increased,terror incidents,,,
1786,blaming modi,srivatsayb narendramodi,pm india,modi,
1787,kashmir will,pakistan terror,,,
1788,,,,,
1789,sonia and,of sonia,sonia,,
1790,msme sector,,,,
1791,isolating kashmiris,against kashmiristudents,kashmiristudents,kashmiristudents then,doval kashmir
1792,workers kripesh,,,,
1793,blair,blair is,india hater,,
1794,dying modi,coffins bjp,bjp propaganda,,
1795,modi made,bharat modi,,,
1796,gandhi mocks,modi make,india train,,
1797,battleofever jetrotter,scumbag terrorist,,,
1798,india terrorist,,,,
1799,described pulwama,pulwama,pulwama attack,,
1800,biggest strike,,,,
1801,,,,,
1802,india train,gandhi mocks,modi make,vande bharat,rahul gandhi
1803,,,,,
1804,gandhi meeting,hindustan muradabad,party zindabad,zindabad,zindabad and
1805,pakistani isi,met pakistani,,,
1806,is modi,,,,
1807,bjp bitternessinoursociety,bjp4india divide,to bjp4india,bjp4india,more bitterness
1808,,,,,
1809,ruin congress,vote modifor2019,2019 vote,,
1810,bjp,congress bjp,bjp has,,
1811,kashmiristudents,against kashmiris,kashmiris was,exposedeshdrohis kashmiristudents,muslims bjpâ
1812,,,,,
1813,delhi fast,assault sanjayazadsln,,,
1814,,,,,
1815,narendra modi,,,,
1816,rahulgandhi antinationalmodi,president rahulgandhi,india youth,rahulgandhi,narendramodi
1817,by bjp,bjp,nagar,bjp voters,
1818,most pakistanis,,,,
1819,bigots narendramodi,secular democracy,,,
1820,affected india,,,,
1821,,,,,
1822,cpm killed,kasargod kerala,,,
1823,kremlin propaganda,pushing kremlin,,,
1824,ban horseslaughter,,,,
1825,we pakistanis,pakistanis are,pakistanis,,
1826,death hartal,workers hacked,,,
1827,why jussie,,,,
1828,logicðÿ ðÿ,ðÿ surgical,doklam pulwama,,
1829,,,,,
1830,somalians living,largest muslim,,,
1831,,,,,
1832,shah really,amit shah,shah,shah is,then shah
1833,gujarat massacre,,,,
1834,attacks government,spandana attacks,,,
1835,hating modi,modi bjp,hating,bjp,
1836,,,,,
1837,blaming pakistan,,,,
1838,mnc companies,,,,
1839,bjp should,,,,
1840,extremist sheâ,sheâ extremist,,,
1841,bjp will,by bjp,bjp,,
1842,hate jews,hate gays,,,
1843,condemn pakistan,pakistan rethink,,,
1844,bjp4india ranga,,,,
1845,bjpâ worst,india elections,women mayawati,bjpâ,mayawati mamata
1846,congressâ constitutional,usurping congressâ,,,
1847,kasaragod kerala,kasaragod two,workers kripesh,,
1848,congress corruption,experiencing congress,congress congressmuktbharat,congressmuktbharat modi4newindia,
1849,,,,,
1850,dna analysis,,,,
1851,,,,,
1852,bjp are,bjp,,,
1853,pulwama terrorist,terrorist attack,modi government,pulwama,
1854,,,,,
1855,let shivsena,shivsena in,shivsena get,shivsena,loksabha bjp
1856,,,,,
1857,presidential power,emergency powers,,,
1858,jagmohan responsible,bjp nominated,nominated jagmohan,remember bjp,kashmiri pandit
1859,pulwama perpetrators,punish pulwama,,,
1860,modi soldiers,attacking kashmiri,kashmiri students,,
1861,,,,,
1862,pulwama attack,teardrop will,every teardrop,teardrop,
1863,india failed,successofmakeinindia,answer successofmakeinindia,,
1864,of arvindkejriwal,,,,
1865,,,,,
1866,kashmiri issue,kashmiri,pak economy,but kashmiri,
1867,protect us,,,,
1868,product development,to develop,develop,,
1869,bjp cnnnews18,anti bjp,bjp,,
1870,,,,,
1871,india boycott,separatists who,india govt,,
1872,to afghanisthan,taklu murderer,afghanisthan,of afghanistani,afghanistani
1873,ram mandir,attacks bjp,mandir,,
1874,rahulgandhi incindia,incindialive rahulgandhi,,,
1875,she hiding,her bangles,,,
1876,chhattisgarh people,sir chhattisgarh,india slogans,,
1877,modiâ manipulated,india must,,,
1878,screams bharat,disrupt prakash,bharat,bharat bharat,
1879,rss murdered,bjp rss,,,
1880,,,,,
1881,terrormata india,terrorism terrormata,terrorism,of terrorism,
1882,women mayawati,india elections,bjpâ worst,mayawati mamata,
1883,mahatma gandhi,gandhi,world mahatma,mahatma,
1884,naxal sympathizers,,,,
1885,,,,,
1886,,,,,
1887,,,,,
1888,strike modi,modi is,modi,,
1889,,,,,
1890,terroristâ say,,,,
1891,pulwama crpf,,,,
1892,of cpim,cpim,cpim manoramanews,,
1893,smriti irani,irani seriously,,,
1894,catalyst pharmaceuticals,pharmaceuticals raised,,,
1895,india needs,rahul gandhi,,,
1896,disrespecting congress,,,,
1897,balidaankabadla terroristnationpakistan,,,,
1898,,,,,
1899,,,,,
1900,congress apology,afzal guru,afzal,on afzal,
1901,kashmiris blame,attacks kashmiris,kashmiri students,blame india,kashmiris
1902,ayushman bharat,odisha,bharat implemented,of odisha,odisha are
1903,,,,,
1904,hate india,pakistan terrorists,gandhis and,gandhis,india gandhis
1905,,,,,
1906,,,,,
1907,nda ignored,,,,
1908,on bjp,bjp,bjp_à,bjp rss,
1909,,,,,
1910,,,,,
1911,shouting india,shouting jai,jai jawan,prakash raj,
1912,indianexpress killing,,,,
1913,somali in,somali,,,
1914,boycott kashmiris,kashmiris stop,kashmiris,to kashmir,kashmir
1915,selling chinese,items boycottchineseproducts,chinese items,boycottchineseproducts,
1916,senate,congress,the senate,senate the,senate so
1917,isi spy,,,,
1918,gujarat samacharâ,ahmedabad is,gujarat,ahmedabad,in ahmedabad
1919,power voluntarily,relinquished power,,,
1920,,,,,
1921,bjp dwarkaexpressway,centre bjp,bjp,,
1922,pulwamaterrorattack fire,,,,
1923,intel committee,,,,
1924,modi was,modi,,,
1925,pakistanis know,pakistanis see,pakistan isn,how pakistanis,pakistanis
1926,sacked mumbai,be sacked,sacked,sackmodi sackajitdoval,
1927,bharat train,vande bharat,bjp why,bjp,rahulgandhi celebrating
1928,about glitches,,,,
1929,kerala cpmterror,,,,
1930,do pakistani,what pakistanis,pakistani heart,pakistani,pakistanis think
1931,jussie smollett,smollett staged,smollett,,
1932,,,,,
1933,indian intelligence,modi sarkar,isi has,seems isi,isi
1934,gandhi mocks,india train,,,
1935,bjp4india got,,,,
1936,bjp4india is,and bjp4india,bjp4india,bjp has,bjp
1937,pulwama attack,attack srinivasiyc,,,
1938,aren kashmiri,kashmiri are,kashmiri they,kashmiri,muslim kashmiri
1939,cpi violence,cpi,always cpi,,
1940,emergencies gunviolence,,,,
1941,rahul gandhi,rahulgandhi the,rahulgandhi,gandhi will,gandhi
1942,,,,,
1943,,,,,
1944,,,,,
1945,will constitutionalcrisis,,,,
1946,destroy pakistan,,,,
1947,navjot sidhu,sidhu can,,,
1948,parliament attacked,bjpâœ rule,duringâœ bjpâœ,bjpâœ,during bjp
1949,pelosi just,pelosi,,,
1950,india train,gandhi mocks,modi make,vande bharat,
1951,,,,,
1952,decades kashmir,kashmir,violence india,kashmir was,pakistan should
1953,pakistanis like,most pakistanis,yes pakistanâ,pakistanis,pakistanis silently
1954,,,,,
1955,modi outrage,servicemen modi,,,
1956,bjp and,that bjp,bjp,,
1957,barkha dutt,praising barkha,saeed praising,hafiz saeed,
1958,pradesh cm,president rahulgandhi,joins andhra,andhra pradesh,
1959,indian soldiers,,,,
1960,political murders,workers hacked,,,
1961,bjp,bjp must,mj akbar,,
1962,ethics harsh,bjp preferred,bjp,,
1963,nda government,tamil nadu,,,
1964,boycott congress,deshdrohi party,should boycott,,
1965,hindutva parties,rss bjp,bjp,hindutva,other hindutva
1966,hate jews,they hate,hate gays,hate freedom,
1967,cpim workers,brutally hacked,,,
1968,,,,,
1969,,,,,
1970,cpi goondas,,,,
1971,indira cut,1971 indira,cut pakistan,indira,
1972,imran niazi,niazi is,,,
1973,bjp and,bjp,,,
1974,bjp you,bjp was,bjp,when bjp,same bjp
1975,kerala strongly,kerala,violence rahulgandhi,,
1976,insults martyrs,,,,
1977,bans psl,psl matches,matches broadcast,,
1978,kashmiri,kashmiri shops,all kashmiri,nehruvian decay,nehruvian
1979,pulwama attack,sidhu spandana,pulwama,,
1980,scare hindus,pulwamaattack,the pulwamaattack,pulwamaattack is,
1981,bano blames,martyr noor,noor bano,,
1982,denying ordinance,,,,
1983,crpf bravehearts,pulwamaterroristattack fire,,,
1984,india hater,modi haters,becoming india,,
1985,congress sick,gop mayor,,,
1986,isolating pakistan,pakistan to,pakistan,the saudi,in pakistan
1987,fact gandhi,gandhi,gandhi is,,
1988,of pulwamaterrorattacks,pulwamaterrorattacks,bjp is,,
1989,,,,,
1990,bjp should,terrorism has,,,
1991,booker jumping,booker,,,
1992,anxious presidentsday,us anxious,,,
1993,,,,,
1994,martyrâ wife,,,,
1995,ngo,other ngos,ngo in,one ngo,ngos
1996,agentsaffron modi,modi is,spineless loser,,
1997,,,,,
1998,,,,,
1999,love pakistan,shit modi,modi always,,
2000,hungry bjp,modi shah,,,
2001,india modi,,,,
2002,when gandhi,india democracy,gandhi supposedly,gandhi,
2003,,,,,
2004,political murder,,,,
2005,shiv sena,,,,
2006,rss members,when rss,rss,you celebrated,celebrated
2007,bjp alliance,bjp shivsena,maharashtra ncp,sweep maharashtra,join bjp
2008,hartal in,hartal,kerala,in kerala,kerala after
2009,sending dick,,,,
2010,political killing,kerala cpmterror,,,
2011,,,,,
2012,collusion conspiracy,,,,
2013,verma nexus,,,,
2014,martyrsâ families,terror strike,,,
2015,sanjay dutt,arms sanjay,sanjay,,
2016,kulbhushanjadhav hearing,india dr,,,
2017,,,,,
2018,,,,,
2019,pulwama attack,politicise pulwama,terror strike,,
2020,mohanan leaves,subramanianâ resigned,pm modi,nsc mohanan,
2021,pulwamaterrorattack modi,after pulwamaterrorattack,pulwamaterrorattack,,
2022,terror attack,,,,
2023,pulwamaattack shows,pulwamaattack,terror pm,,
2024,,,,,
2025,hyped demonetisation,demonetisation,demonetisation was,,
2026,mamatabanerjee said,deadly attack,,,
2027,is bjp,,,,
2028,rafale deal,,,,
2029,modi supporters,online modi,,,
2030,indiaâ manufacturing,ndaâ make,targets ndaâ,ndaâ,indiaâ has
2031,education youthagainstmodi,students has,students since,students,
2032,fascist india,india beats,kashmiris the,kashmiris,
2033,mamta banerjee,,,,
2034,puppet shehla,shehla rashid,,,
2035,masood azhar,,,,
2036,bjp and,,,,
2037,additional visas,visas we,visas,,
2038,,,,,
2039,pulwamaattack,pulwamaattack is,,,
2040,seats bjp4india,bjp4india will,bjp shiv,bjp4india,lok sabha
2041,national emergencies,emergencies act,congress invent,,
2042,swabhiman rally,naujwan swabhiman,jai congress,kisan naujwan,
2043,many bjp,bjp workers,bjp,,
2044,telangana ambassador,,,,
2045,on pakistan,pakistan and,diplomacy pulwamaterrorattack,pakistan,
2046,cpm goons,,,,
2047,sabha elections,bjp will,shiv sena,,
2048,,,,,
2049,bjp shivsena,sabha elections,shivsena to,shivsena,
2050,,,,,
2051,,,,,
2052,,,,,
2053,punjab cm,pak comments,,,
2054,kerala hartal,hartal today,hartal,,
2055,trolls arrested,,,,
2056,bjp president,assam son,,,
2057,,,,,
2058,,,,,
2059,,,,,
2060,kashmiri students,,,,
2061,terror links,napak terror,,,
2062,modi government,bengal chief,,,
2063,modi rejects,rejects talks,,,
2064,pulwama attack,avengepulwama pulwama,pulwama,avengepulwama,
2065,,,,,
2066,,,,,
2067,terrorist has,pakistan is,,,
2068,delhi metro,delhi,,,
2069,kerala hartal,hartal today,hartal,,
2070,kerala hartal,hartal today,hartal,kerala,
2071,kerala members,,,,
2072,bjp pm,than bjp,,,
2073,,,,,
2074,how bjp,,,,
2075,bjp it,bjp,the bjp,,
2076,,,,,
2077,protesting,are protesting,protesting against,,
2078,fentanyl is,fentanyl,,,
2079,elections bjpsenaalliance,kamalnath already,vote nda,kamalnath,
2080,aamir khan,khan should,,,
2081,attack pulwamaterrorattack,pulwama attack,islamabad pulwamaencounter,pulwamaterrorattack,pulwama
2082,nsel scam,scam,scam is,,
2083,,,,,
2084,pulwama crpf,against pak,pak terrorism,pak,
2085,villages modi,villages modiji,indian villages,,
2086,of bjp,that bjp,bjp,bjp neta,
2087,pulwamaattack,pulwamaattack was,that pulwamaattack,,
2088,kashmiri students,that kashmiri,kashmiri,,
2089,bjp panchkulla,pulwama attack,of pulwama,pulwama,
2090,bjp real,,,,
2091,sad kripesh,,,,
2092,border terrorism,,,,
2093,,,,,
2094,modi sacked,bahadur yadav,tej bahadur,,
2095,gandhi vandalised,kerala rss,rss criminals,,
2096,racist tweets,,,,
2097,loksabha elections,modiâ corrupt,,,
2098,rss india,terrorist organisation,one terrorist,rss,india number
2099,exam breaches,,,,
2100,india bitch,anti india,,,
2101,bjp,bjp it,to bjp,,
2102,,,,,
2103,,,,,
2104,bjp and,parties golmalreturns,,,
2105,bjp wants,hindu votes,the bjp4karnataka,bjp4karnataka people,bjp4karnataka
2106,hate india,india,,,
2107,modi gayhind,indians are,,,
2108,congratulations abhijeet,rahul gandhi,gandhi,abhijeet,gandhi for
2109,,,,,
2110,attack modi,attack rajdeep,,,
2111,,,,,
2112,,,,,
2113,scam rahul,scam tejashwi,scam vadra,scam mamata,statues scam
2114,namo became,bjp otherwise,namo,namo or,bjp
2115,,,,,
2116,,,,,
2117,press conferences,,,,
2118,of bjp,bjp daily,bjp,chaliye alliance,ko vanakkam
2119,,,,,
2120,political problems,,,,
2121,youthagainstmodi modi,youthagainstmodi,,,
2122,mirzasania must,telangana rajasinghmla,rajasinghmla when,mirzasania,rajasinghmla
2123,,,,,
2124,indian history,brahmin genocides,1948 brahmin,history 1948,genocides of
2125,circulated youthagainstmodi,youthagainstmodi two,youthagainstmodi,exam breaches,
2126,,,,,
2127,nda2 has,in nda2,nda2,,
2128,,,,,
2129,congress pedophilia,pedophilia crimes,adam schifty,,
2130,,,,,
2131,,,,,
2132,,,,,
2133,theindianterrorist modi,,,,
2134,undo bjp,bjp reversed,bjp regressive,,
2135,suprabhat batyabyal,,,,
2136,,,,,
2137,,,,,
2138,,,,,
2139,,,,,
2140,stupid bjp,proud indian,,,
2141,,,,,
2142,,,,,
2143,sikh genocide,kashmiris liberals,liberals indira,sikh,
2144,,,,,
2145,mercenary bigoted,,,,
2146,pulwama india,pakistan hope,terrorist attack,,
2147,modi nda,,,,
2148,of gandhi,gandhi,dear bharathiyas,,
2149,some investigators,,,,
2150,hindu diaspora,diaspora lives,diaspora,moreover diaspora,
2151,mahatma gandhi,gandhi room,mahatma,,
2152,kashmir issue,article 370,,,
2153,,,,,
2154,modi ðÿ,pm modi,terrorist incidents,sending bangles,
2155,pulwama attack,teardrop will,every teardrop,,
2156,bjp might,2019 victory,what bjp,,
2157,,,,,
2158,kashmir indian,kashmir,in kashmir,bjp,bjp shahfaesal
2159,modi accountable,,,,
2160,,,,,
2161,indian media,encephalitis deaths,,,
2162,disability pension,bjp challenged,,,
2163,innocent bengalis,of indira,in assam,assam,
2164,hamas representative,omarâ district,ilhan omarâ,first hamas,hamas
2165,move climate,,,,
2166,,,,,
2167,election shah,pak intruders,,,
2168,omar terrorist,omar,terrorist,terrorist in,
2169,din tabhi,tabhi aayenge,,,
2170,pulwamaencounter kashmir,pulwama modi,,,
2171,youthagainstmodi studentschalodilli,youth youthagainstmodi,youthagainstmodi,students,studentschalodilli
2172,mourns deaths,country mourns,,,
2173,crpfjawans who,maharashtra secretary,president sanjaynirupam,mumbai congress,sanjaynirupam along
2174,,,,,
2175,maharashtra becomes,maharashtra,,,
2176,of bjp,bjp,bjp top,gandhy nehru,nehru
2177,cab bjp,bjp rss,save hindus,fighting barkha,barkha dutt
2178,pulwamaterrorattack she,on pulwamaterrorattack,pulwamaterrorattack,,
